triple_id,head_id,head_cn,head_type,relation_cn,relation_en,tail_id,tail_cn,tail_type,source,evidence_text,note
TRI_001,DIS_001,黑色素瘤,Disease,表现为,has_manifestation,LF_001,边界不规则,LesionFeature,DermNet - ABCDEFG of melanoma,ABCDE 特征包括 Border irregularity，可支持“边界不规则”。,黑色素瘤皮损特征
TRI_002,DIS_001,黑色素瘤,Disease,表现为,has_manifestation,LF_002,颜色不均,LesionFeature,DermNet - ABCDEFG of melanoma,ABCDE 特征包括 Colour variability / Change，可支持“颜色不均”。,黑色素瘤皮损特征
TRI_003,DIS_001,黑色素瘤,Disease,表现为,has_manifestation,LF_003,形态不对称,LesionFeature,DermNet - ABCDEFG of melanoma,ABCDE 特征包括 Asymmetry，可支持“形态不对称”。,黑色素瘤皮损特征
TRI_004,DIS_001,黑色素瘤,Disease,表现为,has_manifestation,LF_004,直径增大,LesionFeature,DermNet - ABCDEFG of melanoma,ABCDE 特征包括 Diameter / Evolving，可支持“直径增大或变化”。,黑色素瘤皮损特征
TRI_005,DIS_001,黑色素瘤,Disease,表现为,has_manifestation,LF_005,结构不规则,LesionFeature,DermNet - Dermoscopy / Melanoma,黑色素瘤评估中可出现不规则色素或异常皮肤镜结构。,黑色素瘤皮损特征
TRI_006,DIS_001,黑色素瘤,Disease,常见于,commonly_occurs_at,SITE_003,背部,AnatomicalSite,DermNet - Melanoma,黑色素瘤可发生在身体任何部位，男性常见于背部，女性常见于腿部。,常见发病部位
TRI_007,DIS_001,黑色素瘤,Disease,伴随症状,has_symptom,SYM_001,出血,Symptom,DermNet - Melanoma,黑色素瘤早期可表现为异常痣或斑点，并可能出现瘙痒或出血。,皮损异常变化
TRI_008,DIS_001,黑色素瘤,Disease,建议检查,recommended_examination,EXAM_001,皮肤镜检查,Examination,DermNet - Dermoscopy / Melanoma,皮肤镜可用于黑色素瘤相关皮损评估。,辅助检查方式
TRI_009,DIS_001,黑色素瘤,Disease,建议检查,recommended_examination,EXAM_002,组织病理检查,Examination,AAD - Melanoma clinical guideline,活检可提供组织病理信息，用于优化黑色素瘤诊断并指导后续管理。,确认诊断相关检查
TRI_010,DIS_001,黑色素瘤,Disease,鉴别诊断,differential_diagnosis,DIS_002,黑色素细胞痣,Disease,DermNet - Atypical naevi / Superficial spreading melanoma,黑色素瘤早期可能类似黑色素细胞痣，部分情况下很难与非典型痣区分。,易混淆疾病
TRI_011,DIS_001,黑色素瘤,Disease,风险提示,has_risk_warning,RW_001,存在恶性风险，需进一步评估,RiskWarning,DermNet - Melanoma,黑色素瘤是潜在严重的皮肤癌，需进行进一步评估。,风险提示
TRI_012,DIS_001,黑色素瘤,Disease,就医建议,has_medical_advice,ADV_001,建议皮肤科就诊，必要时行病理活检,MedicalAdvice,AAD - Melanoma clinical guideline,疑似黑色素瘤时，活检获得的组织病理信息有助于诊断和后续管理。,非处方性就医建议
TRI_013,DIS_001,黑色素瘤,Disease,常见于,commonly_occurs_at,SITE_002,下肢,AnatomicalSite,DermNet - Melanoma,黑色素瘤可发生在身体任何部位，男性常见于背部，女性常见于腿部。,常见发病部位
TRI_014,DIS_001,黑色素瘤,Disease,伴随症状,has_symptom,SYM_002,瘙痒,Symptom,DermNet - Melanoma,黑色素瘤早期可表现为异常痣或斑点，并可能出现瘙痒或出血。,皮损异常变化
TRI_015,DIS_002,黑色素细胞痣,Disease,表现为,has_manifestation,LF_006,色素均匀,LesionFeature,DermNet - Benign Melanocytic Lesions,单一颜色或均匀色素模式的皮损几乎总是良性的。,黑色素细胞痣皮损特征
TRI_016,DIS_002,黑色素细胞痣,Disease,表现为,has_manifestation,LF_007,边界清楚,LesionFeature,DermNet - Benign Melanocytic Lesions,良性色素性皮损通常表现为较规则、较清楚的边界。,黑色素细胞痣皮损特征
