alias_id,alias_text,entity_id,match_type,note
ALIAS_001,边缘不齐,LF_001,synonym,边界不规则的常见表达
ALIAS_002,边界参差不齐,LF_001,synonym,边界不规则的常见表达
ALIAS_003,边界欠规则,LF_001,synonym,边界不规则的常见表达
ALIAS_004,边缘不规则,LF_001,synonym,边界不规则的近义表达
ALIAS_005,颜色不均匀,LF_002,synonym,颜色不均的常见表达
ALIAS_006,多种颜色,LF_002,synonym,颜色不均的观察表达
ALIAS_007,颜色杂乱,LF_002,synonym,颜色不均的口语表达
ALIAS_008,颜色深浅不一,LF_002,synonym,颜色不均的观察表达
ALIAS_009,形状不对称,LF_003,synonym,形态不对称的常见表达
ALIAS_010,左右不对称,LF_003,synonym,形态不对称的观察表达
ALIAS_011,看起来不对称,LF_003,synonym,形态不对称的口语表达
ALIAS_012,近期增大,LF_004,synonym,直径增大的变化描述
ALIAS_013,轻微增大,LF_004,synonym,直径增大的变化描述
ALIAS_014,越长越大,LF_004,synonym,直径增大的口语表达
ALIAS_015,直径变大,LF_004,synonym,直径增大的常见表达
ALIAS_016,颜色均匀,LF_006,synonym,色素均匀的常见表达
ALIAS_017,颜色相对均匀,LF_006,synonym,色素均匀的观察表达
ALIAS_018,颜色比较一致,LF_006,synonym,色素均匀的口语表达
ALIAS_019,边界规则,LF_007,synonym,边界清楚的常见表达
ALIAS_020,边缘整齐,LF_007,synonym,边界清楚的常见表达
ALIAS_021,边界比较清晰,LF_007,synonym,边界清楚的口语表达
ALIAS_022,形态对称,LF_009,synonym,对称性较好的常见表达
ALIAS_023,整体较对称,LF_009,synonym,对称性较好的观察表达
ALIAS_024,左右比较对称,LF_009,synonym,对称性较好的口语表达
ALIAS_025,珍珠样丘疹,LF_010,synonym,珍珠样结节的近义表达
ALIAS_026,珍珠样疙瘩,LF_010,synonym,珍珠样结节的口语表达
ALIAS_027,像珍珠一样的结节,LF_010,synonym,珍珠样结节的口语表达
ALIAS_028,光亮的结节,LF_010,synonym,珍珠样结节的观察表达
ALIAS_029,发亮的疙瘩,LF_010,synonym,珍珠样结节的口语表达
ALIAS_030,表面可见血管,LF_011,synonym,毛细血管扩张的观察表达
ALIAS_031,表面有细小血管,LF_011,synonym,毛细血管扩张的观察表达
ALIAS_032,细小血丝,LF_011,synonym,毛细血管扩张的口语表达
ALIAS_033,红血丝,LF_011,synonym,毛细血管扩张的口语表达
ALIAS_034,表面血管扩张,LF_011,synonym,毛细血管扩张的近义表达
ALIAS_035,边缘隆起,LF_012,synonym,边缘隆起或卷曲的观察表达
ALIAS_036,边缘卷曲,LF_012,synonym,边缘隆起或卷曲的观察表达
ALIAS_037,中央破溃,LF_013,synonym,中央溃疡的常见表达
ALIAS_038,中间有溃疡,LF_013,synonym,中央溃疡的口语表达
ALIAS_039,中央凹陷,LF_013,synonym,中央凹陷的观察表达
ALIAS_040,长得很慢的结节,LF_014,synonym,缓慢生长结节的口语表达
ALIAS_041,缓慢增大的结节,LF_014,synonym,缓慢生长结节的观察表达
ALIAS_042,粗糙有鳞屑的斑片,LF_015,synonym,粗糙鳞屑性斑片的常见表达
ALIAS_043,粗糙并伴有鳞屑,LF_015,synonym,粗糙鳞屑性斑片的观察表达
ALIAS_044,鳞屑性斑片,LF_015,synonym,粗糙鳞屑性斑片的近义表达
ALIAS_045,红色斑片,LF_017,synonym,红色或粉红色斑片的常见表达
ALIAS_046,粉红色斑块,LF_017,synonym,红色或粉红色斑块的常见表达
ALIAS_047,蜡样表面,LF_020,synonym,蜡样或疣状表面的常见表达
ALIAS_048,疣状表面,LF_020,synonym,蜡样或疣状表面的常见表达
ALIAS_049,像贴在皮肤上一样,LF_021,synonym,贴附样丘疹或斑块的口语表达
ALIAS_050,贴在皮肤上的斑块,LF_021,synonym,贴附样斑块的观察表达
ALIAS_051,坚硬的丘疹,LF_026,synonym,坚实丘疹的常见表达
ALIAS_052,硬结节,LF_026,synonym,坚实结节的口语表达
ALIAS_053,按压后凹陷,LF_027,synonym,捏压凹陷征的常见表达
ALIAS_054,捏后会凹下去,LF_027,synonym,捏压凹陷征的口语表达
ALIAS_055,红色丘疹,LF_030,synonym,血管性皮损颜色形态表达
ALIAS_056,紫色丘疹,LF_030,synonym,血管性皮损颜色形态表达
ALIAS_057,蓝色丘疹,LF_030,synonym,血管性皮损颜色形态表达
ALIAS_058,快速长大的红色结节,LF_033,synonym,快速生长红色结节的常见表达
ALIAS_059,红色肉芽样结节,LF_033,synonym,快速生长红色结节的观察表达
ALIAS_060,脸上,SITE_005,synonym,面部的口语表达
ALIAS_061,脸部,SITE_005,synonym,面部的常见表达
ALIAS_062,面颊,SITE_005,synonym,面部的具体表达
ALIAS_063,长期日晒部位,SITE_006,synonym,日光暴露部位的常见表达
ALIAS_064,经常晒太阳的部位,SITE_006,synonym,日光暴露部位的口语表达
ALIAS_065,太阳经常晒到的地方,SITE_006,synonym,日光暴露部位的口语表达
ALIAS_066,后背,SITE_003,synonym,背部的口语表达
ALIAS_067,背上,SITE_003,synonym,背部的口语表达
ALIAS_068,腿上,SITE_002,synonym,下肢的口语表达
ALIAS_069,小腿,SITE_002,synonym,下肢的具体表达
ALIAS_070,容易流血,SYM_001,synonym,出血的口语表达
ALIAS_071,反复出血,SYM_001,synonym,出血的观察表达
ALIAS_072,发痒,SYM_002,synonym,瘙痒的口语表达
ALIAS_073,很痒,SYM_002,synonym,瘙痒的口语表达
ALIAS_074,没有明显感觉,SYM_003,synonym,无明显症状的口语表达
ALIAS_075,不痛不痒,SYM_003,synonym,无明显症状的口语表达
ALIAS_076,按着疼,SYM_004,synonym,触痛的口语表达
ALIAS_077,碰到会疼,SYM_004,synonym,触痛的口语表达
ALIAS_078,表面可见细小血管,LF_011,synonym,表面毛细血管扩张的观察表达
