claim_id,case_id,method,source_field,claim_type_cn,claim_text,prefilter_status,candidate_rank,evidence_ref,evidence_type,evidence_text,source_names,retrieval_score,prefilter_score,prefilter_quality,token_recall,token_jaccard,character_bigram_recall,reference_match,source_match,entity_match,disease_match,relation_match
CASE_BCC_001__llm__observation_match__001,CASE_BCC_001,llm,observation_match,观察匹配陈述,用户描述的“光亮的珍珠样结节”与基底细胞癌常见的半透明或蜡样光泽外观相符,no_external_evidence,,,,,,,,,,,,,,,,
CASE_BCC_001__llm__observation_match__002,CASE_BCC_001,llm,observation_match,观察匹配陈述,用户描述的“表面可见细小血管”对应基底细胞癌典型的毛细血管扩张征象,no_external_evidence,,,,,,,,,,,,,,,,
CASE_BCC_001__llm__supporting_evidence__001,CASE_BCC_001,llm,supporting_evidence,支持性医学陈述,根据一般医学知识，结节型基底细胞癌常表现为面部出现的珍珠状、半透明丘疹或结节,no_external_evidence,,,,,,,,,,,,,,,,
CASE_BCC_001__llm__supporting_evidence__002,CASE_BCC_001,llm,supporting_evidence,支持性医学陈述,一般医学知识指出，病变表面出现树枝状或细小的毛细血管扩张是基底细胞癌的重要临床特征之一,no_external_evidence,,,,,,,,,,,,,,,,
CASE_BCC_001__llm__differential_diagnosis__001,CASE_BCC_001,llm,differential_diagnosis,鉴别诊断陈述,皮脂腺增生,no_external_evidence,,,,,,,,,,,,,,,,
CASE_BCC_001__llm__differential_diagnosis__002,CASE_BCC_001,llm,differential_diagnosis,鉴别诊断陈述,无色素性黑色素瘤,no_external_evidence,,,,,,,,,,,,,,,,
CASE_BCC_001__llm__differential_diagnosis__003,CASE_BCC_001,llm,differential_diagnosis,鉴别诊断陈述,纤维乳头瘤,no_external_evidence,,,,,,,,,,,,,,,,
CASE_BCC_001__llm__differential_diagnosis__004,CASE_BCC_001,llm,differential_diagnosis,鉴别诊断陈述,寻常疣,no_external_evidence,,,,,,,,,,,,,,,,
CASE_BCC_001__llm__risk_warning__001,CASE_BCC_001,llm,risk_warning,风险医学陈述,基底细胞癌虽转移风险较低，但具有局部侵袭性，若不及时处理可能导致周围组织破坏,no_external_evidence,,,,,,,,,,,,,,,,
CASE_BCC_001__llm__risk_warning__002,CASE_BCC_001,llm,risk_warning,风险医学陈述,面部病变可能影响美观及功能，需警惕病变快速增大、出血或溃疡形成,no_external_evidence,,,,,,,,,,,,,,,,
CASE_BCC_001__llm__medical_advice__001,CASE_BCC_001,llm,medical_advice,医疗建议,建议尽快前往皮肤科就诊，由专业医生进行肉眼检查及皮肤镜检查,not_applicable,,,,,,,,,,,,,,,,
CASE_BCC_001__llm__medical_advice__002,CASE_BCC_001,llm,medical_advice,医疗建议,如有必要，医生可能会建议进行皮肤活检以明确病理诊断,not_applicable,,,,,,,,,,,,,,,,
CASE_BCC_001__llm__medical_advice__003,CASE_BCC_001,llm,medical_advice,医疗建议,在确诊前，注意防晒，避免搔抓或刺激病变部位，并记录病变大小和形态的变化,not_applicable,,,,,,,,,,,,,,,,
CASE_BCC_001__llm__evidence_gap__001,CASE_BCC_001,llm,evidence_gap,证据缺口说明,本方法未接入外部可追溯证据，所有解释基于模型内部的一般医学知识,not_applicable,,,,,,,,,,,,,,,,
CASE_BCC_001__llm__evidence_gap__002,CASE_BCC_001,llm,evidence_gap,证据缺口说明,缺乏患者的年龄、病史、病变持续时间、是否有溃疡或出血等关键临床信息,not_applicable,,,,,,,,,,,,,,,,
CASE_BCC_001__llm__evidence_gap__003,CASE_BCC_001,llm,evidence_gap,证据缺口说明,缺乏皮肤镜检查结果或组织病理学检查报告，无法确诊,not_applicable,,,,,,,,,,,,,,,,
CASE_BCC_001__llm__evidence_gap__004,CASE_BCC_001,llm,evidence_gap,证据缺口说明,纯 LLM 基线未接入外部检索证据，回答中的医学内容不具备本次运行级别的来源追溯能力。,not_applicable,,,,,,,,,,,,,,,,
CASE_BCC_001__rag__observation_match__001,CASE_BCC_001,rag,observation_match,观察匹配陈述,用户观察到的“光亮的珍珠样结节”与检索证据中描述的结节型基底细胞癌表现一致,candidate_generated,1,DOC_0023,retrieved_text_document,结节型基底细胞癌可表现为光亮或珍珠样结节。,DermNet - Basal Cell Carcinoma,63.671704,0.422977,moderate,0.435484,0.380282,0.363636,False,False,False,True,False
CASE_BCC_001__rag__observation_match__001,CASE_BCC_001,rag,observation_match,观察匹配陈述,用户观察到的“光亮的珍珠样结节”与检索证据中描述的结节型基底细胞癌表现一致,candidate_generated,2,DOC_0096,retrieved_text_document,樱桃样血管瘤偶尔可能与结节型基底细胞癌混淆。,DermNet - Cherry Angioma,30.78378,0.291637,weak,0.274194,0.197674,0.212121,False,False,False,True,False
CASE_BCC_001__rag__observation_match__001,CASE_BCC_001,rag,observation_match,观察匹配陈述,用户观察到的“光亮的珍珠样结节”与检索证据中描述的结节型基底细胞癌表现一致,candidate_generated,3,DOC_0028,retrieved_text_document,结节型基底细胞癌是面部常见的 BCC 类型。,DermNet - Basal Cell Carcinoma,36.759728,0.287755,weak,0.258065,0.210526,0.212121,False,False,False,True,False
CASE_BCC_001__rag__observation_match__002,CASE_BCC_001,rag,observation_match,观察匹配陈述,用户观察到的“表面可见细小血管”与检索证据中描述的基底细胞癌表面可见血管穿过相符,candidate_generated,1,DOC_0024,retrieved_text_document,基底细胞癌表面可见血管穿过。,DermNet - Basal Cell Carcinoma,43.848071,0.418629,moderate,0.409836,0.409836,0.363636,False,False,False,True,False
CASE_BCC_001__rag__observation_match__002,CASE_BCC_001,rag,observation_match,观察匹配陈述,用户观察到的“表面可见细小血管”与检索证据中描述的基底细胞癌表面可见血管穿过相符,candidate_generated,2,DOC_0096,retrieved_text_document,樱桃样血管瘤偶尔可能与结节型基底细胞癌混淆。,DermNet - Cherry Angioma,30.78378,0.253924,weak,0.229508,0.159091,0.151515,False,False,False,True,False
CASE_BCC_001__rag__observation_match__002,CASE_BCC_001,rag,observation_match,观察匹配陈述,用户观察到的“表面可见细小血管”与检索证据中描述的基底细胞癌表面可见血管穿过相符,candidate_generated,3,DOC_0028,retrieved_text_document,结节型基底细胞癌是面部常见的 BCC 类型。,DermNet - Basal Cell Carcinoma,36.759728,0.233311,weak,0.196721,0.151899,0.121212,False,False,False,True,False
CASE_BCC_001__rag__observation_match__003,CASE_BCC_001,rag,observation_match,观察匹配陈述,用户观察到的病变部位为面部，与检索证据中指出的结节型基底细胞癌常见于面部相符,candidate_generated,1,DOC_0028,retrieved_text_document,结节型基底细胞癌是面部常见的 BCC 类型。,DermNet - Basal Cell Carcinoma,36.759728,0.341439,moderate,0.328358,0.293333,0.257143,False,False,False,True,False
CASE_BCC_001__rag__observation_match__003,CASE_BCC_001,rag,observation_match,观察匹配陈述,用户观察到的病变部位为面部，与检索证据中指出的结节型基底细胞癌常见于面部相符,candidate_generated,2,DOC_0023,retrieved_text_document,结节型基底细胞癌可表现为光亮或珍珠样结节。,DermNet - Basal Cell Carcinoma,63.671704,0.272304,weak,0.238806,0.183908,0.2,False,False,False,True,False
CASE_BCC_001__rag__observation_match__003,CASE_BCC_001,rag,observation_match,观察匹配陈述,用户观察到的病变部位为面部，与检索证据中指出的结节型基底细胞癌常见于面部相符,candidate_generated,3,DOC_0096,retrieved_text_document,樱桃样血管瘤偶尔可能与结节型基底细胞癌混淆。,DermNet - Cherry Angioma,30.78378,0.270305,weak,0.238806,0.173913,0.2,False,False,False,True,False
CASE_BCC_001__rag__supporting_evidence__001,CASE_BCC_001,rag,supporting_evidence,支持性医学陈述,根据DOC_0023，结节型基底细胞癌可表现为光亮或珍珠样结节,candidate_generated,1,DOC_0023,retrieved_text_document,结节型基底细胞癌可表现为光亮或珍珠样结节。,DermNet - Basal Cell Carcinoma,63.671704,1.0,strong,0.9,0.9,0.666667,True,False,False,True,False
CASE_BCC_001__rag__supporting_evidence__001,CASE_BCC_001,rag,supporting_evidence,支持性医学陈述,根据DOC_0023，结节型基底细胞癌可表现为光亮或珍珠样结节,candidate_generated,2,DOC_0096,retrieved_text_document,樱桃样血管瘤偶尔可能与结节型基底细胞癌混淆。,DermNet - Cherry Angioma,30.78378,0.374977,moderate,0.425,0.265625,0.259259,False,False,False,True,False
CASE_BCC_001__rag__supporting_evidence__001,CASE_BCC_001,rag,supporting_evidence,支持性医学陈述,根据DOC_0023，结节型基底细胞癌可表现为光亮或珍珠样结节,candidate_generated,3,DOC_0028,retrieved_text_document,结节型基底细胞癌是面部常见的 BCC 类型。,DermNet - Basal Cell Carcinoma,36.759728,0.356397,moderate,0.375,0.272727,0.259259,False,False,False,True,False
CASE_BCC_001__rag__supporting_evidence__002,CASE_BCC_001,rag,supporting_evidence,支持性医学陈述,根据DOC_0024，基底细胞癌表面可见血管穿过,candidate_generated,1,DOC_0024,retrieved_text_document,基底细胞癌表面可见血管穿过。,DermNet - Basal Cell Carcinoma,43.848071,0.981527,strong,0.862069,0.862069,0.571429,True,False,False,True,False
CASE_BCC_001__rag__supporting_evidence__002,CASE_BCC_001,rag,supporting_evidence,支持性医学陈述,根据DOC_0024，基底细胞癌表面可见血管穿过,candidate_generated,2,DOC_0096,retrieved_text_document,樱桃样血管瘤偶尔可能与结节型基底细胞癌混淆。,DermNet - Cherry Angioma,30.78378,0.372543,moderate,0.448276,0.22807,0.238095,False,False,False,True,False
CASE_BCC_001__rag__supporting_evidence__002,CASE_BCC_001,rag,supporting_evidence,支持性医学陈述,根据DOC_0024，基底细胞癌表面可见血管穿过,candidate_generated,3,DOC_0028,retrieved_text_document,结节型基底细胞癌是面部常见的 BCC 类型。,DermNet - Basal Cell Carcinoma,36.759728,0.335653,moderate,0.37931,0.229167,0.190476,False,False,False,True,False
CASE_BCC_001__rag__supporting_evidence__003,CASE_BCC_001,rag,supporting_evidence,支持性医学陈述,根据DOC_0028，结节型基底细胞癌是面部常见的BCC类型,candidate_generated,1,DOC_0028,retrieved_text_document,结节型基底细胞癌是面部常见的 BCC 类型。,DermNet - Basal Cell Carcinoma,36.759728,1.0,strong,0.882353,0.882353,0.666667,True,False,False,True,False
CASE_BCC_001__rag__supporting_evidence__003,CASE_BCC_001,rag,supporting_evidence,支持性医学陈述,根据DOC_0028，结节型基底细胞癌是面部常见的BCC类型,candidate_generated,2,DOC_0023,retrieved_text_document,结节型基底细胞癌可表现为光亮或珍珠样结节。,DermNet - Basal Cell Carcinoma,63.671704,0.382868,moderate,0.441176,0.272727,0.259259,False,False,False,True,False
CASE_BCC_001__rag__supporting_evidence__003,CASE_BCC_001,rag,supporting_evidence,支持性医学陈述,根据DOC_0028，结节型基底细胞癌是面部常见的BCC类型,candidate_generated,3,DOC_0096,retrieved_text_document,樱桃样血管瘤偶尔可能与结节型基底细胞癌混淆。,DermNet - Cherry Angioma,30.78378,0.378322,moderate,0.441176,0.25,0.259259,False,False,False,True,False
CASE_BCC_001__rag__differential_diagnosis__001,CASE_BCC_001,rag,differential_diagnosis,鉴别诊断陈述,樱桃样血管瘤：根据DOC_0096，偶尔可能与结节型基底细胞癌混淆,candidate_generated,1,DOC_0096,retrieved_text_document,樱桃样血管瘤偶尔可能与结节型基底细胞癌混淆。,DermNet - Cherry Angioma,30.78378,1.0,strong,0.909091,0.888889,0.655172,True,False,False,True,False
CASE_BCC_001__rag__differential_diagnosis__001,CASE_BCC_001,rag,differential_diagnosis,鉴别诊断陈述,樱桃样血管瘤：根据DOC_0096，偶尔可能与结节型基底细胞癌混淆,candidate_generated,2,DOC_0023,retrieved_text_document,结节型基底细胞癌可表现为光亮或珍珠样结节。,DermNet - Basal Cell Carcinoma,63.671704,0.35679,moderate,0.386364,0.269841,0.241379,False,False,False,True,False
CASE_BCC_001__rag__differential_diagnosis__001,CASE_BCC_001,rag,differential_diagnosis,鉴别诊断陈述,樱桃样血管瘤：根据DOC_0096，偶尔可能与结节型基底细胞癌混淆,candidate_generated,3,DOC_0028,retrieved_text_document,结节型基底细胞癌是面部常见的 BCC 类型。,DermNet - Basal Cell Carcinoma,36.759728,0.335487,moderate,0.340909,0.254237,0.241379,False,False,False,True,False
