case_id,candidate_disease,case_type,method,run_status,expected_concept_count,matched_concept_count,expected_concept_coverage,matched_concepts,missing_concepts,source_traceable,source_count,sources,evidence_path_traceable,evidence_path_count,complete_evidence_path_count,evidence_path_completeness,safety_completeness,generated_claim_count,prompt_tokens,completion_tokens,total_tokens,response_time_ms,wall_time_ms,coverage_per_1000_tokens,model_name,prompt_version
CASE_BCC_001,基底细胞癌,typical_positive,llm,success,3,3,1.0,珍珠样结节；表面毛细血管扩张；面部,,0,0,,0,0,0,,1.0,17,587,371,958,10407,10408,1.043841,qwen3.7-plus-2026-05-26,baseline_v1
CASE_BCC_001,基底细胞癌,typical_positive,rag,success,3,3,1.0,珍珠样结节；表面毛细血管扩张；面部,,1,3,DermNet - Basal Cell Carcinoma；DermNet - Cherry Angioma；DermNet - Basal Cell Carcinoma Dermoscopy,0,0,0,,1.0,15,898,499,1397,9794,9797,0.71582,qwen3.7-plus-2026-05-26,baseline_v1
CASE_BCC_001,基底细胞癌,typical_positive,kg_rag,success,3,3,1.0,珍珠样结节；表面毛细血管扩张；面部,,1,1,DermNet - Basal Cell Carcinoma,1,5,5,1.0,1.0,18,1495,549,2044,10649,10655,0.489237,qwen3.7-plus-2026-05-26,baseline_v1
CASE_MEL_001,黑色素瘤,typical_positive,llm,success,4,4,1.0,不对称；边界不规则；多种颜色；近期变化,,0,0,,0,0,0,,1.0,21,589,446,1035,10779,10779,0.966184,qwen3.7-plus-2026-05-26,baseline_v1
CASE_MEL_001,黑色素瘤,typical_positive,rag,success,4,4,1.0,不对称；边界不规则；多种颜色；近期变化,,1,4,DermNet - ABCDEFG of melanoma；DermNet - Dermatofibroma；DermNet - Benign Melanocytic Lesions；DermNet - Dermoscopy / Melanoma,0,0,0,,1.0,18,922,643,1565,12294,12299,0.638978,qwen3.7-plus-2026-05-26,baseline_v1
CASE_MEL_001,黑色素瘤,typical_positive,kg_rag,success,4,4,1.0,不对称；边界不规则；多种颜色；近期变化,,1,2,DermNet - ABCDEFG of melanoma；DermNet - Dermoscopy / Melanoma,1,5,5,1.0,1.0,22,1489,648,2137,13282,13287,0.467946,qwen3.7-plus-2026-05-26,baseline_v1
CASE_NV_001,黑色素细胞痣,typical_positive,llm,success,4,4,1.0,棕色；形状规则；边界清楚；长期稳定,,0,0,,0,0,0,,1.0,16,595,469,1064,13346,13347,0.93985,qwen3.7-plus-2026-05-26,baseline_v1
CASE_NV_001,黑色素细胞痣,typical_positive,rag,success,4,3,0.75,棕色；形状规则；边界清楚,长期稳定,1,4,DermNet - Benign Melanocytic Lesions；DermNet - Melanocytic Naevus；HAM10000 Scientific Data；DermNet - Intraepidermal Squamous Cell Carcinoma,0,0,0,,1.0,12,965,463,1428,9063,9067,0.52521,qwen3.7-plus-2026-05-26,baseline_v1
CASE_NV_001,黑色素细胞痣,typical_positive,kg_rag,success,4,4,1.0,棕色；形状规则；边界清楚；长期稳定,,1,4,DermNet - Benign Melanocytic Lesions；DermNet - Melanocytic Naevus；DermNet - Melanocytic Naevi: New Classification；DermNet - ABCDEFG of melanoma,1,5,5,1.0,1.0,18,1520,663,2183,12592,12598,0.458085,qwen3.7-plus-2026-05-26,baseline_v1
CASE_AKIEC_001,光化性角化病/表皮内癌,typical_positive,llm,success,5,5,1.0,日晒部位；粗糙；红色斑片；鳞屑；角化,,0,0,,0,0,0,,1.0,22,602,675,1277,14667,14668,0.783085,qwen3.7-plus-2026-05-26,baseline_v1
