claim_id,case_id,method,global_claim_index,source_field,field_claim_index,claim_type,claim_type_cn,claim_scope,evidence_required,included_in_core_consistency,claim_text,is_duplicate,duplicate_of_claim_id,allowed_evidence_type,allowed_evidence_count,allowed_evidence_refs,allowed_source_names,output_sources
CASE_BCC_001__llm__observation_match__001,CASE_BCC_001,llm,1,observation_match,1,observation_alignment,观察匹配陈述,core_consistency,True,True,用户描述的“光亮的珍珠样结节”与基底细胞癌常见的半透明或蜡样光泽外观相符,False,,none,0,,,
CASE_BCC_001__llm__observation_match__002,CASE_BCC_001,llm,2,observation_match,2,observation_alignment,观察匹配陈述,core_consistency,True,True,用户描述的“表面可见细小血管”对应基底细胞癌典型的毛细血管扩张征象,False,,none,0,,,
CASE_BCC_001__llm__supporting_evidence__001,CASE_BCC_001,llm,3,supporting_evidence,1,supporting_medical_claim,支持性医学陈述,core_consistency,True,True,根据一般医学知识，结节型基底细胞癌常表现为面部出现的珍珠状、半透明丘疹或结节,False,,none,0,,,
CASE_BCC_001__llm__supporting_evidence__002,CASE_BCC_001,llm,4,supporting_evidence,2,supporting_medical_claim,支持性医学陈述,core_consistency,True,True,一般医学知识指出，病变表面出现树枝状或细小的毛细血管扩张是基底细胞癌的重要临床特征之一,False,,none,0,,,
CASE_BCC_001__llm__differential_diagnosis__001,CASE_BCC_001,llm,5,differential_diagnosis,1,differential_claim,鉴别诊断陈述,core_consistency,True,True,皮脂腺增生,False,,none,0,,,
CASE_BCC_001__llm__differential_diagnosis__002,CASE_BCC_001,llm,6,differential_diagnosis,2,differential_claim,鉴别诊断陈述,core_consistency,True,True,无色素性黑色素瘤,False,,none,0,,,
CASE_BCC_001__llm__differential_diagnosis__003,CASE_BCC_001,llm,7,differential_diagnosis,3,differential_claim,鉴别诊断陈述,core_consistency,True,True,纤维乳头瘤,False,,none,0,,,
CASE_BCC_001__llm__differential_diagnosis__004,CASE_BCC_001,llm,8,differential_diagnosis,4,differential_claim,鉴别诊断陈述,core_consistency,True,True,寻常疣,False,,none,0,,,
CASE_BCC_001__llm__risk_warning__001,CASE_BCC_001,llm,9,risk_warning,1,risk_claim,风险医学陈述,core_consistency,True,True,基底细胞癌虽转移风险较低，但具有局部侵袭性，若不及时处理可能导致周围组织破坏,False,,none,0,,,
CASE_BCC_001__llm__risk_warning__002,CASE_BCC_001,llm,10,risk_warning,2,risk_claim,风险医学陈述,core_consistency,True,True,面部病变可能影响美观及功能，需警惕病变快速增大、出血或溃疡形成,False,,none,0,,,
CASE_BCC_001__llm__medical_advice__001,CASE_BCC_001,llm,11,medical_advice,1,medical_advice,医疗建议,auxiliary_safety,False,False,建议尽快前往皮肤科就诊，由专业医生进行肉眼检查及皮肤镜检查,False,,none,0,,,
CASE_BCC_001__llm__medical_advice__002,CASE_BCC_001,llm,12,medical_advice,2,medical_advice,医疗建议,auxiliary_safety,False,False,如有必要，医生可能会建议进行皮肤活检以明确病理诊断,False,,none,0,,,
