id,entity_type,name_cn,name_en,alias,source,note
DIS_001,Disease,黑色素瘤,Melanoma,mel,HAM10000,对应 HAM10000 标签 mel
DIS_002,Disease,黑色素细胞痣,Melanocytic Nevus,nv,HAM10000,对应 HAM10000 标签 nv
DIS_003,Disease,基底细胞癌,Basal Cell Carcinoma,bcc,HAM10000,对应 HAM10000 标签 bcc
DIS_004,Disease,光化性角化病/表皮内癌,Actinic Keratosis / Intraepithelial Carcinoma,akiec,HAM10000,对应 HAM10000 标签 akiec
DIS_005,Disease,良性角化样病变,Benign Keratosis-like Lesion,bkl,HAM10000,对应 HAM10000 标签 bkl
DIS_006,Disease,皮肤纤维瘤,Dermatofibroma,df,HAM10000,对应 HAM10000 标签 df
DIS_007,Disease,血管性皮损,Vascular Lesion,vasc,HAM10000,对应 HAM10000 标签 vasc
LF_001,LesionFeature,边界不规则,Irregular Border,irregular margin,DermNet - ABCDEFG of melanoma,黑色素瘤相关皮损特征
LF_002,LesionFeature,颜色不均,Color Variegation,multiple colors,DermNet - ABCDEFG of melanoma,黑色素瘤相关皮损特征
LF_003,LesionFeature,形态不对称,Asymmetry,asymmetric lesion,DermNet - ABCDEFG of melanoma,黑色素瘤相关皮损特征
LF_004,LesionFeature,直径增大,Enlarged Diameter,diameter enlargement,DermNet - ABCDEFG of melanoma,黑色素瘤相关皮损特征
LF_005,LesionFeature,结构不规则,Irregular Structure,irregular pattern,DermNet - Dermoscopy / Melanoma,黑色素瘤相关皮损特征
LF_006,LesionFeature,色素均匀,Uniform Pigmentation,uniform pigment pattern,DermNet - Benign Melanocytic Lesions,黑色素细胞痣相关皮损特征
LF_007,LesionFeature,边界清楚,Well-defined Border,well-demarcated border,DermNet - Benign Melanocytic Lesions,黑色素细胞痣相关皮损特征
LF_008,LesionFeature,棕色或黑色斑疹/丘疹,Brown or Black Macule/Papule,pigmented mole,DermNet - Melanocytic Naevus,黑色素细胞痣相关皮损特征
LF_009,LesionFeature,对称性较好,Symmetric Appearance,symmetry,DermNet - Benign Melanocytic Lesions,黑色素细胞痣相关皮损特征
LF_010,LesionFeature,珍珠样结节,Pearly Nodule,shiny or pearly nodule,DermNet - Basal Cell Carcinoma,基底细胞癌典型皮损特征
LF_011,LesionFeature,表面毛细血管扩张,Surface Telangiectasia,visible blood vessels; telangiectasia,DermNet - Basal Cell Carcinoma,基底细胞癌典型皮损特征
